url,depth_from_homepage,ratio
https://en.wikipedia.org/wiki/Battle_of_Santa_Cruz_de_Tenerife_(1657),2,0.9220489977728286
https://en.wikipedia.org/wiki/Canary_Islands,2,0.8053363397219091
https://en.wikipedia.org/wiki/1828,2,0.6916932907348243
https://en.wikipedia.org/wiki/Ren%C3%A9_Cailli%C3%A9,2,0.0
https://en.wikipedia.org/wiki/Timbuktu,2,0.7710100231303006
https://en.wikipedia.org/wiki/French_franc,2,0.9111870196413322
https://en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_de_G%C3%A9ographie,2,0.0
https://en.wikipedia.org/wiki/1914,2,0.8757852655625357
https://en.wikipedia.org/wiki/Colorado_National_Guard,2,0.9365609348914858
https://en.wikipedia.org/wiki/Ludlow_Massacre,2,0.8993453355155483
https://en.wikipedia.org/wiki/1968,2,0.9169685990338164
https://en.wikipedia.org/wiki/Enoch_Powell,2,0.9279166666666666
https://en.wikipedia.org/wiki/Conservative_Party_(UK),2,0.8129588254069582
https://en.wikipedia.org/wiki/Rivers_of_Blood_speech,2,0.8781725888324873
https://en.wikipedia.org/wiki/Shadow_cabinet,2,0.7328519855595668
https://en.wikipedia.org/wiki/Peter_Bartholomew,2,0.7121212121212122
https://en.wikipedia.org/wiki/Allegra_Byron,2,0.8710526315789474
https://en.wikipedia.org/wiki/Toller_Cranston,2,0.8611940298507462
https://en.wikipedia.org/wiki/April_19,2,0.8194001276324187
https://en.wikipedia.org/wiki/April_20,2,0.8297442799461642
https://en.wikipedia.org/wiki/April_21,2,0.8387997208653175
https://en.wikipedia.org/wiki/Wikipedia:Selected_anniversaries/April,2,0.9125
https://lists.wikimedia.org/postorius/lists/daily-article-l.lists.wikimedia.org/,2,0.7777777777777778
https://en.wikipedia.org/wiki/List_of_days_of_the_year,2,0.7966101694915254
https://en.wikipedia.org/wiki/File:Gare_Du_Nord_Interior,_Paris,_France_-_Diliff_(cropped).jpg,2,0.7327586206896551
https://en.wikipedia.org/wiki/Gare_du_Nord,2,0.8914518317503393
https://en.wikipedia.org/wiki/List_of_Paris_railway_stations,2,0.9142857142857143
https://en.wikipedia.org/wiki/List_of_busiest_railway_stations_in_Europe,2,0.9098228663446055
https://en.wikipedia.org/wiki/Jacques_Ignace_Hittorff,2,0.7397260273972602
https://en.wikipedia.org/wiki/User:Diliff,2,0.9795719844357976
https://en.wikipedia.org/wiki/Template:POTD/2022-04-19,2,0.8194444444444444
https://en.wikipedia.org/wiki/Template:POTD/2022-04-18,2,0.8059701492537313
https://en.wikipedia.org/wiki/Template:POTD/2022-04-17,2,0.8088235294117647
https://en.wikipedia.org/wiki/Wikipedia:Picture_of_the_day/Archive,2,0.9806259314456036
https://en.wikipedia.org/wiki/Wikipedia:Featured_pictures,2,0.7645348837209303
https://en.wikipedia.org/wiki/Wikipedia:Community_portal,2,0.8184796854521625
https://en.wikipedia.org/wiki/Wikipedia:Village_pump,2,0.5149384885764499
https://en.wikipedia.org/wiki/Wikipedia:News,2,0.6646586345381527
https://en.wikipedia.org/wiki/Wikipedia:Teahouse,2,0.9603691639522258
https://en.wikipedia.org/wiki/Wikipedia:Help_desk,2,0.900578034682081
